name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est
John Wall,1,2010,175,232,37,114,83,63,40,87,33,3,30,129,241,66,19,616,37,76,99.8,34.8,19.3,149,5.8,16.6,0,1.3,1,23891,11,2245
Kyrie Irving,1,2011,64,71,18,39,26,13,11,15,0,0,6,31,47,16,6,192,11,74,99.8,27.5,18.8,27,5.8,19.2,0,3.6,0.8,30330,14,559
Anthony Davis,1,2012,144,203,3,20,56,20,55,88,96,2,119,296,50,54,186,567,40,82,100,32,18.9,41,6.3,20.3,0,3.9,0.8,29790,14,2117
Anthony Bennett,1,2013,117,168,36,94,47,35,56,73,53,5,81,190,31,24,40,537,34,80,99,27.2,19.9,63,4.9,10.1,0,-4.1,2.1,1924,4,1604
Andrew Wiggins,1,2014,176,227,43,126,56,36,54,107,36,4,76,129,54,41,34,597,35,80,100,32.8,18.9,80,8,14.1,0,-0.9,0.9,29333,12,1965
Karl-Anthony Towns,1,2015,109,134,2,8,65,32,56,72,22,2,92,169,44,18,88,401,39,83,99.2,21.1,19.2,53,6.1,25.2,0,3.9,0.9,25688,11,1315
Ben Simmons,1,2016,199,297,1,3,103,56,55,106,56,5,103,285,158,65,27,632,33,82,100,34.9,19.5,111,4.8,4.3,1,2.2,1.1,13071,7,2103
Markelle Fultz,1,2017,109,168,52,126,57,43,86,112,14,1,33,110,148,39,30,579,25,76,99.2,35.7,18.6,80,4,-0.2,0,-0.7,1.4,6433,9,1636
Deandre Ayton,1,2018,140,191,12,35,98,42,79,108,87,2,118,287,57,20,66,704,35,85,99.4,33.5,19.5,69,4.1,10.4,1,-0.7,1.1,15534,8,2009
Zion Williamson,1,2019,130,203,24,71,175,59,25,26,72,7,116,177,68,70,59,746,33,79,99.2,30,18.6,78,8.8,19.7,0,2.1,1.3,8658,6,1788
Anthony Edwards,1,2020,127,165,69,237,62,40,37,85,27,0,23,139,88,42,17,591,31,77,99.8,33,18.5,84,5.4,4.1,0,2.4,1.2,16953,6,1838
Cade Cunningham,1,2021,132,156,62,155,60,39,46,91,7,2,19,148,93,43,21,546,27,80,100,35.4,19.3,110,6.4,8.9,0,2.6,1.4,9280,5,1744
Paolo Banchero,1,2022,137,188,44,130,86,58,74,121,41,3,69,236,124,41,36,671,39,82,99.8,33,19.2,92,5.6,14.7,0,1,1.4,9562,4,2181
Cooper Flagg,1,2025,179,213,52,135,91,80,60,92,36,3,49,228,156,52,50,709,37,81,100,30.7,18.1,78,6.9,23.6,0,2.2,2.1,2280,1,1887
Evan Turner,2,2010,138,182,20,55,84,27,106,152,18,1,62,222,185,54,28,632,31,79,90.8,35.7,21.3,136,6.5,15.5,0,-3.2,0.9,20283,10,1813
Derrick Williams,2,2011,247,331,42,74,79,49,49,69,56,4,105,209,43,37,26,741,38,80,81.4,30,19.7,100,5.9,12.3,0,-3.2,1.3,8882,7,1907
Victor Oladipo,2,2013,97,130,30,68,92,54,25,29,35,1,93,135,74,78,28,491,36,77,73,28.4,20.7,82,7.3,19.5,0,0.7,1,17122,10,1707
Michael Kidd-Gilchrist,2,2012,143,192,13,51,66,41,47,85,34,2,103,194,75,39,37,476,40,79,99.6,31.1,18.3,87,6.1,20.3,0,1.4,1.2,11010,8,2062
Jabari Parker,2,2014,160,214,38,106,63,70,74,119,61,5,105,201,41,37,43,670,35,80,99.4,30.7,18.8,81,6.8,14.7,0,-0.7,1.2,8695,8,1752
D'Angelo Russell,2,2015,118,156,95,231,66,40,66,108,4,0,35,163,175,55,11,675,35,77,97,33.9,18.9,102,6,14.6,0,-0.4,0.9,20205,11,1951
Brandon Ingram,2,2016,116,170,80,195,52,48,65,107,17,0,67,177,71,40,49,624,36,81,99.6,34.6,18.4,72,7.3,12.6,0,0,1,19256,10,2122
Lonzo Ball,2,2017,66,98,80,194,57,23,15,14,37,3,33,183,274,66,28,524,36,78,99.6,35.1,19.2,89,3.7,13.4,0,1.7,1.2,9623,7,2335
Marvin Bagley III,2,2018,131,209,23,58,99,67,54,64,94,4,132,234,50,27,29,694,33,83,100,33.8,18.8,75,6.7,17.9,0,-0.9,1.3,7591,8,1977
Ja Morant,2,2019,211,259,56,152,132,101,34,58,28,3,38,139,308,54,25,759,31,75,0,36.6,19.5,160,-1,9.2,0,2.4,1.3,11228,7,2066
James Wiseman,2,2020,19,27,0,1,8,1,3,3,9,1,13,19,1,1,9,59,3,85,100,23,18.6,3,-0.4,8.3,0,-5.5,1.8,2865,5,128
Chet Holmgren,2,2022,71,99,41,105,48,20,24,26,57,0,57,260,61,26,111,452,32,84,100,26.9,19.7,61,3.6,18.9,0,4.7,1.6,6265,3,1581
Brandon Miller,2,2023,146,170,106,276,62,59,31,62,23,3,76,229,76,33,32,696,37,81,97.2,32.6,20.2,81,7.1,17.5,0,0.6,1.6,5205,3,2197
Dylan Harper,2,2025,126,168,50,150,108,51,25,56,11,0,22,111,117,42,17,564,29,78,99.6,32.6,18.9,70,6.4,5.2,0,5,2.3,1467,1,1643
Derrick Favors,3,2010,86,137,0,1,84,35,40,72,53,3,107,195,33,31,72,440,35,82,100,27.8,19.3,86,7.2,11.8,0,-0.3,1,19883,12,1704
Otto Porter,3,2013,122,157,43,102,52,28,65,96,8,0,55,177,84,57,28,501,31,80,94,35.4,19.6,47,6.8,12.9,0,2.8,1.1,14537,11,1694
Bradley Beal,3,2012,133,173,63,186,71,46,23,47,18,2,50,199,83,51,31,546,37,75,99.4,34.2,18.6,79,5.8,14.3,0,0.9,0.8,29302,14,2060
Joel Embiid,3,2014,98,143,1,5,50,19,25,40,30,0,65,162,38,25,72,313,28,84,97.4,23.1,19.8,66,8.8,14.1,0,5.8,1.1,17514,10,1111
Jahlil Okafor,3,2015,99,194,0,0,149,54,66,84,64,3,134,188,49,29,54,657,38,83,100,30.1,19.1,95,8,20,0,-4.1,1.6,4741,7,1888
Jaylen Brown,3,2016,142,217,30,102,77,58,35,81,21,4,36,146,67,27,22,498,34,79,99.4,27.6,19.2,105,5.2,10.4,0,-0.2,0.9,25246,10,1601
Jayson Tatum,3,2017,118,139,40,117,61,44,46,76,18,3,39,174,62,39,33,488,29,80,99.4,33.3,18.9,76,8.9,15.1,0,4.6,1,25219,9,1663
R.J. Barrett,3,2019,149,224,73,237,128,92,78,126,40,2,59,229,164,34,16,860,38,79,100,35.3,18.6,123,9.3,19.7,0,-1,1.1,15039,7,2439
Evan Mobley,3,2021,134,193,12,40,50,28,72,85,63,3,90,196,79,26,94,540,33,84,99.6,33.9,19.6,74,6.3,14.1,0,2.6,1.3,11690,5,1885
Jabari Smith,3,2022,131,164,79,187,27,21,63,113,14,1,32,219,67,37,35,576,34,82,99,28.8,18.7,64,5.7,14,0,1.1,1.4,9237,4,1741
Reed Sheppard,3,2024,54,65,75,144,34,20,27,32,5,1,12,124,147,82,23,411,33,75,91.8,28.9,19.6,66,4.8,10.3,0,0.6,2,2752,2,1764
V.J. Edgecombe,3,2025,109,140,50,149,43,47,37,59,33,3,65,114,103,66,19,480,32,77,99.4,32.7,19.5,62,9.4,12.3,1,1.7,2.1,2515,1,1713
Wes Johnson,4,2010,112,145,51,123,56,32,48,87,37,4,75,224,78,58,64,577,35,79,32.2,35,22.3,81,6.8,17.1,0,-2.9,1.1,13528,9,2168
