name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est,fga_est,ts_pct,ast_to_tov,ft_pct,three_pt_pct,rim_pct,dunk_rate,position
John Wall,1.0,2010,175,232,37,114,83,63,40,87,33,3,30,129,241,66,19,616,37,76,99.8,34.8,19.3,149,5.8,16.6,0,1.3,1.0,23891.0,11.0,2245,387,0.629753823505357,1.6174496644295302,0.7543103448275862,0.32456140350877194,0.5684931506849316,0.22602739726027396,SF
Kyrie Irving,1.0,2011,64,71,18,39,26,13,11,15,0,0,6,31,47,16,6,192,11,74,99.8,27.5,18.8,27,5.8,19.2,0,3.6,0.8,30330.0,14.0,559,104,0.709849157054126,1.7407407407407407,0.9014084507042254,0.46153846153846156,0.6666666666666666,0.0,PG
Anthony Davis,1.0,2012,144,203,3,20,56,20,55,88,96,2,119,296,50,54,186,567,40,82,100.0,32.0,18.9,41,6.3,20.3,0,3.9,0.8,29790.0,14.0,2117,239,0.8634868421052632,1.2195121951219512,0.7093596059113301,0.15,0.7368421052631579,1.263157894736842,C
Anthony Bennett,1.0,2013,117,168,36,94,47,35,56,73,53,5,81,190,31,24,40,537,34,80,99.0,27.2,19.9,63,4.9,10.1,0,-4.1,2.1,1924.0,4.0,1604,305,0.7085928428164256,0.49206349206349204,0.6964285714285714,0.3829787234042553,0.573170731707317,0.6463414634146342,SF
Andrew Wiggins,1.0,2014,176,227,43,126,56,36,54,107,36,4,76,129,54,41,34,597,35,80,100.0,32.8,18.9,80,8.0,14.1,0,-0.9,0.9,29333.0,12.0,1965,379,0.623329435349148,0.675,0.775330396475771,0.3412698412698413,0.6086956521739131,0.391304347826087,SF
Karl-Anthony Towns,1.0,2015,109,134,2,8,65,32,56,72,22,2,92,169,44,18,88,401,39,83,99.2,21.1,19.2,53,6.1,25.2,0,3.9,0.9,25688.0,11.0,1315,233,0.6867379093026442,0.8301886792452831,0.8134328358208955,0.25,0.6701030927835051,0.2268041237113402,C
Ben Simmons,1.0,2016,199,297,1,3,103,56,55,106,56,5,103,285,158,65,27,632,33,82,100.0,34.9,19.5,111,4.8,4.3,1,2.2,1.1,13071.0,7.0,2103,323,0.6965261858578734,1.4234234234234233,0.67003367003367,0.3333333333333333,0.6477987421383647,0.3522012578616352,PF
Markelle Fultz,1.0,2017,109,168,52,126,57,43,86,112,14,1,33,110,148,39,30,579,25,76,99.2,35.7,18.6,80,4.0,-0.2,0,-0.7,1.4,6433.0,9.0,1636,424,0.5814187017994858,1.85,0.6488095238095238,0.4126984126984127,0.57,0.14,SG
Deandre Ayton,1.0,2018,140,191,12,35,98,42,79,108,87,2,118,287,57,20,66,704,35,85,99.4,33.5,19.5,69,4.1,10.4,1,-0.7,1.1,15534.0,8.0,2009,362,0.789166890861806,0.8260869565217391,0.7329842931937173,0.34285714285714286,0.7,0.6214285714285714,C
Zion Williamson,1.0,2019,130,203,24,71,175,59,25,26,72,7,116,177,68,70,59,746,33,79,99.2,30.0,18.6,78,8.8,19.7,0,2.1,1.3,8658.0,6.0,1788,356,0.8375999281415611,0.8717948717948718,0.6403940886699507,0.3380281690140845,0.7478632478632479,0.3076923076923077,PF
Anthony Edwards,1.0,2020,127,165,69,237,62,40,37,85,27,0,23,139,88,42,17,591,31,77,99.8,33.0,18.5,84,5.4,4.1,0,2.4,1.2,16953.0,6.0,1838,461,0.5537856071964018,1.0476190476190477,0.7696969696969697,0.2911392405063291,0.6078431372549019,0.2647058823529412,SG
Cade Cunningham,1.0,2021,132,156,62,155,60,39,46,91,7,2,19,148,93,43,21,546,27,80,100.0,35.4,19.3,110,6.4,8.9,0,2.6,1.4,9280.0,5.0,1744,391,0.5939430858933078,0.8454545454545455,0.8461538461538461,0.4,0.6060606060606061,0.0707070707070707,SF
Paolo Banchero,1.0,2022,137,188,44,130,86,58,74,121,41,3,69,236,124,41,36,671,39,82,99.8,33.0,19.2,92,5.6,14.7,0,1.0,1.4,9562.0,4.0,2181,469,0.6080983107373304,1.3478260869565217,0.7287234042553191,0.3384615384615385,0.5972222222222222,0.2847222222222222,PF
Cooper Flagg,1.0,2025,179,213,52,135,91,80,60,92,36,3,49,228,156,52,50,709,37,81,100.0,30.7,18.1,78,6.9,23.6,0,2.2,2.1,2280.0,1.0,1887,458,0.6425360690205176,2.0,0.8403755868544601,0.3851851851851852,0.5321637426900585,0.21052631578947367,SF
Evan Turner,2.0,2010,138,182,20,55,84,27,106,152,18,1,62,222,185,54,28,632,31,79,90.8,35.7,21.3,136,6.5,15.5,0,-3.2,0.9,20283.0,10.0,1813,424,0.6268846214886526,1.3602941176470589,0.7582417582417582,0.36363636363636365,0.7567567567567568,0.16216216216216217,PF
Derrick Williams,2.0,2011,247,331,42,74,79,49,49,69,56,4,105,209,43,37,26,741,38,80,81.4,30.0,19.7,100,5.9,12.3,0,-3.2,1.3,8882.0,7.0,1907,320,0.7956790653723907,0.43,0.7462235649546828,0.5675675675675675,0.6171875,0.4375,SF
Victor Oladipo,2.0,2013,97,130,30,68,92,54,25,29,35,1,93,135,74,78,28,491,36,77,73.0,28.4,20.7,82,7.3,19.5,0,0.7,1.0,17122.0,10.0,1707,268,0.754920049200492,0.9024390243902439,0.7461538461538462,0.4411764705882353,0.6301369863013698,0.23972602739726026,SF
Michael Kidd-Gilchrist,2.0,2012,143,192,13,51,66,41,47,85,34,2,103,194,75,39,37,476,40,79,99.6,31.1,18.3,87,6.1,20.3,0,1.4,1.2,11010.0,8.0,2062,290,0.6355479598376415,0.8620689655172413,0.7447916666666666,0.2549019607843137,0.616822429906542,0.3177570093457944,PF
Jabari Parker,2.0,2014,160,214,38,106,63,70,74,119,61,5,105,201,41,37,43,670,35,80,99.4,30.7,18.8,81,6.8,14.7,0,-0.7,1.2,8695.0,8.0,1752,432,0.6366884597840962,0.5061728395061729,0.7476635514018691,0.3584905660377358,0.47368421052631576,0.45864661654135336,SF
D'Angelo Russell,2.0,2015,118,156,95,231,66,40,66,108,4,0,35,163,175,55,11,675,35,77,97.0,33.9,18.9,102,6.0,14.6,0,-0.4,0.9,20205.0,11.0,1951,511,0.5822579532123388,1.7156862745098038,0.7564102564102564,0.41125541125541126,0.6226415094339622,0.03773584905660377,SG
Brandon Ingram,2.0,2016,116,170,80,195,52,48,65,107,17,0,67,177,71,40,49,624,36,81,99.6,34.6,18.4,72,7.3,12.6,0,0.0,1.0,19256.0,10.0,2122,467,0.575858250276855,0.9861111111111112,0.6823529411764706,0.41025641025641024,0.52,0.17,SF
Lonzo Ball,2.0,2017,66,98,80,194,57,23,15,14,37,3,33,183,274,66,28,524,36,78,99.6,35.1,19.2,89,3.7,13.4,0,1.7,1.2,9623.0,7.0,2335,303,0.7569629030394083,3.0786516853932584,0.673469387755102,0.41237113402061853,0.7125,0.4625,SG
Marvin Bagley III,2.0,2018,131,209,23,58,99,67,54,64,94,4,132,234,50,27,29,694,33,83,100.0,33.8,18.8,75,6.7,17.9,0,-0.9,1.3,7591.0,8.0,1977,342,0.799612867545396,0.6666666666666666,0.6267942583732058,0.39655172413793105,0.5963855421686747,0.5662650602409639,PF
Ja Morant,2.0,2019,211,259,56,152,132,101,34,58,28,3,38,139,308,54,25,759,31,75,0.0,36.6,19.5,160,-1.0,9.2,0,2.4,1.3,11228.0,7.0,2066,477,0.6421754433464193,1.925,0.8146718146718147,0.3684210526315789,0.5665236051502146,0.12017167381974249,SG
James Wiseman,2.0,2020,19,27,0,1,8,1,3,3,9,1,13,19,1,1,9,59,3,85,100.0,23.0,18.6,3,-0.4,8.3,0,-5.5,1.8,2865.0,5.0,128,16,1.0,0.3333333333333333,0.7037037037037037,0.0,0.8888888888888888,1.0,C
Chet Holmgren,2.0,2022,71,99,41,105,48,20,24,26,57,0,57,260,61,26,111,452,32,84,100.0,26.9,19.7,61,3.6,18.9,0,4.7,1.6,6265.0,3.0,1581,223,0.8478391356542617,1.0,0.7171717171717171,0.3904761904761905,0.7058823529411765,0.8382352941176471,PF
Brandon Miller,2.0,2023,146,170,106,276,62,59,31,62,23,3,76,229,76,33,32,696,37,81,97.2,32.6,20.2,81,7.1,17.5,0,0.6,1.6,5205.0,3.0,2197,490,0.6161473087818697,0.9382716049382716,0.8588235294117647,0.38405797101449274,0.512396694214876,0.19008264462809918,SF
Dylan Harper,2.0,2025,126,168,50,150,108,51,25,56,11,0,22,111,117,42,17,564,29,78,99.6,32.6,18.9,70,6.4,5.2,0,5.0,2.3,1467.0,1.0,1643,390,0.6078634247284014,1.6714285714285715,0.75,0.3333333333333333,0.6792452830188679,0.06918238993710692,SG
Derrick Favors,3.0,2010,86,137,0,1,84,35,40,72,53,3,107,195,33,31,72,440,35,82,100.0,27.8,19.3,86,7.2,11.8,0,-0.3,1.0,19883.0,12.0,1704,232,0.7527028876419872,0.38372093023255816,0.6277372262773723,0.0,0.7058823529411765,0.44537815126050423,C
Otto Porter,3.0,2013,122,157,43,102,52,28,65,96,8,0,55,177,84,57,28,501,31,80,94.0,35.4,19.6,47,6.8,12.9,0,2.8,1.1,14537.0,11.0,1694,343,0.6078916715200932,1.7872340425531914,0.7770700636942676,0.4215686274509804,0.65,0.1,SF
Bradley Beal,3.0,2012,133,173,63,186,71,46,23,47,18,2,50,199,83,51,31,546,37,75,99.4,34.2,18.6,79,5.8,14.3,0,0.9,0.8,29302.0,14.0,2060,373,0.60785536159601,1.0506329113924051,0.7687861271676301,0.3387096774193548,0.6068376068376068,0.15384615384615385,SG
Joel Embiid,3.0,2014,98,143,1,5,50,19,25,40,30,0,65,162,38,25,72,313,28,84,97.4,23.1,19.8,66,8.8,14.1,0,5.8,1.1,17514.0,10.0,1111,139,0.7750594294770206,0.5757575757575758,0.6853146853146853,0.2,0.7246376811594203,0.43478260869565216,C
Jahlil Okafor,3.0,2015,99,194,0,0,149,54,66,84,64,3,134,188,49,29,54,657,38,83,100.0,30.1,19.1,95,8.0,20.0,0,-4.1,1.6,4741.0,7.0,1888,353,0.7493840678894059,0.5157894736842106,0.5103092783505154,0.0,0.7339901477832512,0.31527093596059114,C
Jaylen Brown,3.0,2016,142,217,30,102,77,58,35,81,21,4,36,146,67,27,22,498,34,79,99.4,27.6,19.2,105,5.2,10.4,0,-0.2,0.9,25246.0,10.0,1601,353,0.5552087049589725,0.638095238095238,0.6543778801843319,0.29411764705882354,0.5703703703703704,0.15555555555555556,PF
Jayson Tatum,3.0,2017,118,139,40,117,61,44,46,76,18,3,39,174,62,39,33,488,29,80,99.4,33.3,18.9,76,8.9,15.1,0,4.6,1.0,25219.0,9.0,1663,344,0.6022312172968703,0.8157894736842105,0.8489208633093526,0.3418803418803419,0.580952380952381,0.17142857142857143,SF
R.J. Barrett,3.0,2019,149,224,73,237,128,92,78,126,40,2,59,229,164,34,16,860,38,79,100.0,35.3,18.6,123,9.3,19.7,0,-1.0,1.1,15039.0,7.0,2439,661,0.5661172257622835,1.3333333333333333,0.6651785714285714,0.3080168776371308,0.5818181818181818,0.18181818181818182,SF
Evan Mobley,3.0,2021,134,193,12,40,50,28,72,85,63,3,90,196,79,26,94,540,33,84,99.6,33.9,19.6,74,6.3,14.1,0,2.6,1.3,11690.0,5.0,1885,275,0.750166703711936,1.0675675675675675,0.694300518134715,0.3,0.6410256410256411,0.8076923076923077,PF
Jabari Smith,3.0,2022,131,164,79,187,27,21,63,113,14,1,32,219,67,37,35,576,34,82,99.0,28.8,18.7,64,5.7,14.0,0,1.1,1.4,9237.0,4.0,1741,411,0.5960758340922262,1.046875,0.7987804878048781,0.42245989304812837,0.5625,0.2916666666666667,PF
Reed Sheppard,3.0,2024,54,65,75,144,34,20,27,32,5,1,12,124,147,82,23,411,33,75,91.8,28.9,19.6,66,4.8,10.3,0,0.6,2.0,2752.0,2.0,1764,257,0.7195378151260504,2.227272727272727,0.8307692307692308,0.5208333333333334,0.6296296296296297,0.09259259259259259,SG
V.J. Edgecombe,3.0,2025,109,140,50,149,43,47,37,59,33,3,65,114,103,66,19,480,32,77,99.4,32.7,19.5,62,9.4,12.3,1,1.7,2.1,2515.0,1.0,1713,335,0.605143721633888,1.6612903225806452,0.7785714285714286,0.33557046979865773,0.4777777777777778,0.36666666666666664,SG
Wes Johnson,4.0,2010,112,145,51,123,56,32,48,87,37,4,75,224,78,58,64,577,35,79,32.2,35.0,22.3,81,6.8,17.1,0,-2.9,1.1,13528.0,9.0,2168,346,0.7040019521717911,0.9629629629629629,0.7724137931034483,0.4146341463414634,0.6363636363636364,0.42045454545454547,SF
Dion Waiters,4.0,2012,86,118,41,113,64,51,39,61,26,3,18,67,92,67,12,467,37,76,96.0,24.1,20.1,48,6.2,16.7,0,-1.4,1.1,12260.0,8.0,1442,328,0.6146030743314381,1.9166666666666667,0.7288135593220338,0.36283185840707965,0.5565217391304348,0.22608695652173913,SF
Tristan Thompson,4.0,2011,127,261,0,0,48,40,54,98,70,5,138,144,45,34,86,471,36,80,97.8,30.9,19.9,64,6.2,17.0,0,-2.7,0.9,22807.0,14.0,1880,240,0.6636794048021643,0.703125,0.48659003831417624,0.0,0.5454545454545454,0.7954545454545454,PF
Cody Zeller,4.0,2013,196,259,0,2,93,84,50,65,56,5,102,188,47,37,45,594,36,84,98.2,29.5,20.3,81,7.5,19.5,0,0.6,1.1,11852.0,11.0,1777,294,0.7280125502500245,0.5802469135802469,0.7567567567567568,0.0,0.5254237288135594,0.3163841807909605,C
Aaron Gordon,4.0,2014,76,180,16,45,83,59,36,104,54,2,102,201,75,34,39,470,38,80,99.6,31.2,18.4,55,6.5,19.2,0,1.5,0.9,24178.0,12.0,1898,327,0.5785327424913835,1.3636363636363635,0.4222222222222222,0.35555555555555557,0.5845070422535211,0.38028169014084506,PF
Josh Jackson,4.0,2017,98,173,34,90,74,49,55,94,57,10,81,177,104,59,37,572,35,80,100.0,30.8,19.9,97,8.2,16.1,0,-3.2,1.4,6727.0,5.0,1910,362,0.6527891901762074,1.0721649484536082,0.5664739884393064,0.37777777777777777,0.6016260162601627,0.4634146341463415,PF
