name,season,mpg,gp,pts_per_40,ast_per_40,oreb_per_40,dreb_per_40,stl_per_40,blks_per_40,tov_per_40
John Wall,2010,34.8,37,708.0459770114943,277.0114942528736,34.48275862068966,148.27586206896552,75.86206896551725,21.839080459770116,171.26436781609198
Kyrie Irving,2011,27.5,11,279.27272727272725,68.36363636363636,8.727272727272727,45.090909090909086,23.272727272727273,8.727272727272727,39.27272727272727
Anthony Davis,2012,32.0,40,708.75,62.5,148.75,370.0,67.5,232.5,51.25
Anthony Bennett,2013,27.2,34,789.7058823529412,45.588235294117645,119.11764705882354,279.4117647058824,35.294117647058826,58.82352941176471,92.64705882352942
Andrew Wiggins,2014,32.8,35,728.048780487805,65.85365853658537,92.6829268292683,157.3170731707317,50.0,41.463414634146346,97.56097560975611
Karl-Anthony Towns,2015,21.1,39,760.1895734597156,83.4123222748815,174.4075829383886,320.37914691943126,34.12322274881517,166.824644549763,100.4739336492891
Ben Simmons,2016,34.9,33,724.3553008595989,181.0888252148997,118.05157593123211,326.6475644699141,74.49856733524355,30.945558739255013,127.22063037249285
Markelle Fultz,2017,35.7,25,648.7394957983192,165.82633053221286,36.97478991596638,123.24929971988794,43.69747899159663,33.613445378151255,89.63585434173669
Deandre Ayton,2018,33.5,35,840.5970149253732,68.05970149253731,140.8955223880597,342.6865671641791,23.88059701492537,78.80597014925372,82.38805970149255
Zion Williamson,2019,30.0,33,994.6666666666667,90.66666666666666,154.66666666666666,236.0,93.33333333333334,78.66666666666666,104.0
Anthony Edwards,2020,33.0,31,716.3636363636364,106.66666666666666,27.878787878787882,168.48484848484847,50.90909090909091,20.606060606060606,101.81818181818181
Cade Cunningham,2021,35.4,27,616.9491525423729,105.08474576271186,21.46892655367232,167.23163841807911,48.58757062146893,23.728813559322035,124.29378531073446
Paolo Banchero,2022,33.0,39,813.3333333333333,150.3030303030303,83.63636363636363,286.06060606060606,49.696969696969695,43.63636363636363,111.51515151515153
Cooper Flagg,2025,30.7,37,923.7785016286646,203.25732899022802,63.843648208469055,297.0684039087948,67.75244299674267,65.14657980456026,101.62866449511401
Evan Turner,2010,35.7,31,708.1232492997198,207.28291316526608,69.46778711484593,248.7394957983193,60.50420168067227,31.372549019607842,152.38095238095238
Derrick Williams,2011,30.0,38,988.0,57.333333333333336,140.0,278.6666666666667,49.333333333333336,34.66666666666667,133.33333333333334
Victor Oladipo,2013,28.4,36,691.549295774648,104.22535211267606,130.98591549295776,190.14084507042256,109.85915492957747,39.436619718309856,115.49295774647888
Michael Kidd-Gilchrist,2012,31.1,40,612.2186495176849,96.46302250803858,132.475884244373,249.5176848874598,50.160771704180064,47.58842443729903,111.89710610932477
Jabari Parker,2014,30.7,35,872.9641693811075,53.42019543973941,136.80781758957656,261.8892508143323,48.20846905537459,56.02605863192182,105.53745928338762
D'Angelo Russell,2015,33.9,35,796.4601769911505,206.4896755162242,41.29793510324484,192.330383480826,64.89675516224189,12.979351032448378,120.35398230088497
Brandon Ingram,2016,34.6,36,721.3872832369942,82.08092485549132,77.45664739884393,204.6242774566474,46.24277456647398,56.64739884393064,83.23699421965317
Lonzo Ball,2017,35.1,36,597.1509971509971,312.25071225071224,37.60683760683761,208.54700854700855,75.21367521367522,31.90883190883191,101.42450142450143
